Code,Disease
92597,device Oral speech eval
92607,Ex for speech device rx 1hr
92607,Ex for
92607,for speech
92607,speech device
92607,device rx
92607,rx 1hr
92607,speech rx device 1hr Ex for
92608,Ex for speech device rx addl
92608,Ex for
92608,for speech
92608,speech device
92608,device rx
92608,rx addl
92608,for rx device addl Ex speech
92609,Use of speech device service
92609,Use of
92609,of speech
92609,speech device
92609,device service
92609,Use device of service speech
92610,Evaluate swallowing function
92610,Evaluate swallowing
92610,swallowing function
92610,function Evaluate swallowing
92611,Motion fluoroscopy/swallow
92611,fluoroscopy/swallow Motion
92612,Endoscopy swallow tst (fees)
92612,Endoscopy swallow
92612,swallow tst
92612,tst (fees)
92612,(fees) tst swallow Endoscopy
92614,Laryngoscopic sensory test
92614,Laryngoscopic sensory
92614,sensory test
92614,Laryngoscopic test sensory
92616,Fees w/laryngeal sense test
92616,Fees w/laryngeal
92616,w/laryngeal sense
92616,sense test
93797,Cardiac rehab
93798,Cardiac rehab/monitor
93798,rehab/monitor Cardiac
95851,Range of motion measurements
95851,Range of
95851,of motion
95851,motion measurements
95851,measurements motion Range of
95852,Range of motion measurements
95852,Range of
95852,of motion
95852,motion measurements
95992,Canalith repositioning proc
95992,Canalith repositioning
95992,repositioning proc
95992,proc repositioning Canalith
96000,Motion analysis video/3d
96000,Motion analysis
96000,analysis video/3d
96001,Motion test w/ft press meas
96001,Motion test
96001,test w/ft
96001,w/ft press
96001,press meas
96001,press meas test Motion w/ft
96002,Dynamic surface emg
96002,Dynamic surface
96002,surface emg
96002,surface Dynamic emg
96003,Dynamic fine wire emg
96003,Dynamic fine
96003,fine wire
96003,wire emg
96003,wire fine emg Dynamic
96105,Assessment of aphasia 
96105,Assessment of
96105,of aphasia
96105,aphasia Assessment of
96125,Cognitive test by HC pro
96125,Cognitive test
96125,test by
96125,by HC
96125,HC pro
96125,Cognitive HC by test pro
97010,Hot or cold packs therapy
97010,Hot or
97010,or cold
97010,cold packs
97010,packs therapy
97010,or therapy cold packs Hot
97012,Mechanical traction therapy
97012,Mechanical traction
97012,traction therapy
97012,Mechanical therapy traction
97016,Vasopneumatic device therapy
97016,Vasopneumatic device
97016,device therapy
97016,therapy Vasopneumatic device
97018,Paraffin bath therapy
97018,Paraffin bath
97018,bath therapy
97018,therapy Paraffin bath
97022,Whirlpool therapy
97024,Diathermy eg microwave
97024,Diathermy eg
97024,eg microwave
97026,Infrared therapy
97026,therapy Infrared
97028,Ultraviolet therapy
97028,therapy Ultraviolet
97032,Electrical stimulation
97032,stimulation Electrical
97033,Electric current therapy
97033,Electric current
97033,current therapy
97033,Electric therapy current
97034,Contrast bath therapy
97034,Contrast bath
97034,bath therapy
97034,bath therapy Contrast
97035,Ultrasound therapy
97036,Hydrotherapy
97039,Physical therapy treatment
97039,Physical therapy
97039,therapy treatment
97110,Therapeutic exercises
97110,exercises Therapeutic
97112,Neuromuscular reeducation
97113,Aquatic therapy/exercises
97116,Gait training therapy
97116,Gait training
97116,training therapy
97116,therapy training Gait
97124,Massage therapy
97129,Ther ivntj 1st 15 min
97129,Ther ivntj
97129,ivntj 1st
97129,1st 15
97129,15 min
97129,Ther 1st ivntj 15 min
97130,Ther ivntj ea addl 15 min
97130,Ther ivntj
97130,ivntj ea
97130,ea addl
97130,addl 15
97130,15 min
97130,Ther 15 min ivntj addl ea
97139,Physical medicine procedure
97139,Physical medicine
97139,medicine procedure
97139,procedure Physical medicine
97140,Manual therapy
97140,therapy Manual
97150,Group therapeutic procedures
97150,Group therapeutic
97150,therapeutic procedures
97150,procedures therapeutic Group
97161,Pt eval low complex 20 min
97161,Pt eval
97161,eval low
97161,low complex
97161,complex 20
97161,20 min
97161,Pt complex eval min 20 low
97162,Pt eval mod complex 30 min
97162,Pt eval
97162,eval mod
97162,mod complex
97162,complex 30
97162,30 min
97162,Pt complex min mod eval 30
97163,Pt eval high complex 45 min
97163,Pt eval
97163,eval high
97163,high complex
97163,complex 45
97163,45 min
97163,complex min eval high Pt 45
97164,Pt re-eval est plan care
97164,Pt re-eval
97164,re-eval est
97164,est plan
97164,plan care
97164,Pt plan care re-eval est
97165,Ot eval low complex 30 min
97165,Ot eval
97165,eval low
97165,low complex
97165,complex 30
97165,30 min
97165,complex low 30 min eval Ot
97166,Ot eval mod complex 45 min
97166,Ot eval
97166,eval mod
97166,mod complex
97166,complex 45
97166,45 min
97166,45 mod Ot complex min eval
97167,Ot eval high complex 60 min
97167,Ot eval
97167,eval high
97167,high complex
97167,complex 60
97167,60 min
97167,60 complex eval Ot min high
97168,Ot re-eval est plan care
97168,Ot re-eval
97168,re-eval est
97168,est plan
97168,plan care
97168,plan Ot est care re-eval
97530,Therapeutic activities
97533,Sensory integration
97533,integration Sensory
97535,Self care mngment training
97535,Self care
97535,care mngment
97535,mngment training
97535,training mngment care Self
97537,Community/work reintegration
97537,reintegration Community/work
97542,Wheelchair mngment training
97542,Wheelchair mngment
97542,mngment training
97545,Work hardening
97546,Work hardening add-on
97546,Work hardening
97546,hardening add-on
97597,RMVL devital tis 20cm/<
97597,RMVL devital
97597,devital tis
97597,tis 20cm/<
97597,tis 20cm/< devital RMVL
97598,RMVL devital tis addl 20 cm<
97598,RMVL devital
97598,devital tis
97598,tis addl
97598,addl 20
97598,20 cm<
97598,20 RMVL addl cm< tis devital
97602,Wound(s) care non-selective
97602,Wound(s) care
97602,care non-selective
97602,Wound(s) non-selective care
97605,Neg press wound tx < 50 cm
97605,Neg press
97605,press wound
97605,wound tx
97605,tx <
97605,< 50
97605,50 cm
97605,cm wound tx press 50 Neg <
97606,Neg press wound tx > 50 cm
97606,Neg press
97606,press wound
97606,wound tx
97606,tx >
97606,> 50
97606,50 cm
97606,wound press Neg > 50 tx cm
97607,Neg press wnd tx </=50 sq cm
97607,Neg press
97607,press wnd
97607,wnd tx
97607,tx </=50
97607,</=50 sq
97607,sq cm
97607,tx press wnd </=50 Neg sq cm
97608,Neg press wound tx >50 cm
97608,Neg press
97608,press wound
97608,wound tx
97608,tx >50
97608,>50 cm
97608,Neg tx wound >50 cm press
97610,Low frequency non-thermal US
97610,Low frequency
97610,frequency non-thermal
97610,non-thermal US
97610,non-thermal Low frequency US
97750,Physical performance test
97750,Physical performance
97750,performance test
97750,Physical test performance
97755,Assistive technology assess
97755,Assistive technology
97755,technology assess
97755,assess technology Assistive
97760,Orthotic mgmttrainj 1st enc 
97760,Orthotic mgmttrainj
97760,mgmttrainj 1st
97760,1st enc
97760,1st enc mgmttrainj Orthotic
97761,Prosthetic trainj 1st enc
97761,Prosthetic trainj
97761,trainj 1st
97761,1st enc
97761,1st enc trainj Prosthetic
97763,Orth/prostc mgmt sbsq enc
97763,Orth/prostc mgmt
97763,mgmt sbsq
97763,sbsq enc
97763,enc Orth/prostc sbsq mgmt
97799,Physical medicine procedure
97799,Physical medicine
97799,medicine procedure
97799,medicine procedure Physical
98966,Hc pro phone call 5-10 min
98966,Hc pro
98966,pro phone
98966,phone call
98966,call 5-10
98966,5-10 min
98966,call min pro phone Hc 5-10
98967,Hc pro phone call 11-20 min
98967,Hc pro
98967,pro phone
98967,phone call
98967,call 11-20
98967,11-20 min
98967,phone min Hc 11-20 pro call
98968,Hc pro phone call 21-30 min
98968,Hc pro
98968,pro phone
98968,phone call
98968,call 21-30
98968,21-30 min
98968,min Hc call pro phone 21-30
98970,Qnhp ol dig assmtmgmt 5-10
98970,Qnhp ol
98970,ol dig
98970,dig assmtmgmt
98970,assmtmgmt 5-10
98970,Qnhp ol 5-10 assmtmgmt dig
98971,Qnhp ol dig assmtmgmt 11-20 
98971,Qnhp ol
98971,ol dig
98971,dig assmtmgmt
98971,assmtmgmt 11-20
98971,11-20 dig ol assmtmgmt Qnhp
98972,Qnhp ol dig assmtmgmt 21
98972,Qnhp ol
98972,ol dig
98972,dig assmtmgmt
98972,assmtmgmt 21
98972,assmtmgmt ol dig 21 Qnhp
98975,Rem ther mntr 1st setupedu
98975,Rem ther
98975,ther mntr
98975,mntr 1st
98975,1st setupedu
98975,1st mntr setupedu ther Rem
98976,Rem ther mntr dev sply resp
98976,Rem ther
98976,ther mntr
98976,mntr dev
98976,dev sply
98976,sply resp
98976,Rem dev sply resp mntr ther
98977,Rem ther mntr dv sply mscskl
98977,Rem ther
98977,ther mntr
98977,mntr dv
98977,dv sply
98977,sply mscskl
98977,ther sply Rem dv mntr mscskl
98980,Rem ther mntr 1st 20 min
98980,Rem ther
98980,ther mntr
98980,mntr 1st
98980,1st 20
98980,20 min
98980,ther Rem 20 mntr 1st min
98981,Rem ther mntr ea addl 20 min
98981,Rem ther
98981,ther mntr
98981,mntr ea
98981,ea addl
98981,addl 20
98981,20 min
98981,mntr ther min Rem ea 20 addl
G0281,Elec stim unattend for press
G0281,Elec stim
G0281,stim unattend
G0281,unattend for
G0281,for press
G0281,stim press Elec unattend for
G0283,Elec stim other than wound
G0283,Elec stim
G0283,stim other
G0283,other than
G0283,than wound
G0283,wound than other Elec stim
G0329,Electromagntic tx for ulcers
G0329,Electromagntic tx
G0329,tx for
G0329,for ulcers
G0329,for ulcers Electromagntic tx
G0451,Development test interp  rep
G0451,Development test
G0451,test interp
G0451,interp rep
G0451,Development test interp rep
G2250,"Remot img sub by pt, non e/m"
G2250,Remot img
G2250,img sub
G2250,sub by
G2250,"by pt,"
G2250,"pt, non"
G2250,non e/m
G2250,"sub by pt, non img e/m Remot"
G2251,"Brief chkin, 5-10, non-e/m"
G2251,"Brief chkin,"
G2251,"chkin, 5-10,"
G2251,"5-10, non-e/m"
G2251,"chkin, 5-10, Brief non-e/m"
0042T,Ct perfusion w/contrast cbf
0042T,Ct perfusion
0042T,perfusion w/contrast
0042T,w/contrast cbf
0042T,w/contrast perfusion Ct cbf
0174T,Cad cxr with interp
0174T,Cad cxr
0174T,cxr with
0174T,with interp
0174T,Cad cxr interp with
0175T,Cad cxr remote
0175T,Cad cxr
0175T,cxr remote
0175T,cxr Cad remote
0330T,Tear film img uni/bi w/ir
0330T,Tear film
0330T,film img
0330T,img uni/bi
0330T,uni/bi w/ir
0330T,film w/ir img Tear uni/bi
0331T,Heart symp image plnr
0331T,Heart symp
0331T,symp image
0331T,image plnr
0332T,Heart symp image plnr spect
0332T,Heart symp
0332T,symp image
0332T,image plnr
0332T,plnr spect
0332T,Heart image plnr spect symp
0422T,Tactile breast img uni/bi
0422T,Tactile breast
0422T,breast img
0422T,img uni/bi
0422T,breast uni/bi Tactile img
0508T  ,Pls echo us b1 dns meas tib
0508T  ,Pls echo
0508T  ,echo us
0508T  ,us b1
0508T  ,b1 dns
0508T  ,dns meas
0508T  ,meas tib
0508T  ,Pls us meas dns b1 echo tib
0558T,Ct scan f/biomchn ct alys
0558T,Ct scan
0558T,scan f/biomchn
0558T,f/biomchn ct
0558T,ct alys
0558T,alys ct f/biomchn scan Ct
0633T,Ct breast w/3d uni c-
0633T,Ct breast
0633T,breast w/3d
0633T,w/3d uni
0633T,uni c-
0633T,Ct uni w/3d c- breast
0634T,Ct breast w/3d uni c
0634T,Ct breast
0634T,breast w/3d
0634T,w/3d uni
0634T,uni c
0634T,c uni Ct w/3d breast
0635T,Ct breast w/3d uni c-/c
0635T,Ct breast
0635T,breast w/3d
0635T,w/3d uni
0635T,uni c-/c
0635T,Ct w/3d uni breast c-/c
0636T,Ct breast w/3d bi c-
0636T,Ct breast
0636T,breast w/3d
0636T,w/3d bi
0636T,bi c-
0636T,Ct w/3d breast bi c-
0637T,Ct breast w/3d bi c
0637T,Ct breast
0637T,breast w/3d
0637T,w/3d bi
0637T,bi c
0637T,breast bi w/3d c Ct
0638T,Ct breast w/3d bi c-/c
0638T,Ct breast
0638T,breast w/3d
0638T,w/3d bi
0638T,bi c-/c
0638T,c-/c bi w/3d breast Ct
0721T,Quan ct tiss charac w/o ct
0721T,Quan ct
0721T,ct tiss
0721T,tiss charac
0721T,charac w/o
0721T,w/o ct
0721T,Quan tiss charac ct ct w/o
0722T,Quan ct tiss charac w/ct
0722T,Quan ct
0722T,ct tiss
0722T,tiss charac
0722T,charac w/ct
0722T,ct tiss Quan charac w/ct
0723T,Qmrcp w/o dx mri sm anat ses
0723T,Qmrcp w/o
0723T,w/o dx
0723T,dx mri
0723T,mri sm
0723T,sm anat
0723T,anat ses
0723T,dx ses sm mri anat Qmrcp w/o
0724T,Qmrcp w/dx mri same anatomy
0724T,Qmrcp w/dx
0724T,w/dx mri
0724T,mri same
0724T,same anatomy
0724T,same anatomy Qmrcp mri w/dx
51798,Us urine capacity measure
51798,Us urine
51798,urine capacity
51798,capacity measure
51798,urine capacity measure Us
70100,X-ray exam of jaw
70100,X-ray exam
70100,exam of
70100,of jaw
70100,exam of X-ray jaw
70110,X-ray exam of jaw
70110,X-ray exam
70110,exam of
70110,of jaw
70110,X-ray jaw exam of
70120,X-ray exam of mastoids
70120,X-ray exam
70120,exam of
70120,of mastoids
70120,of X-ray exam mastoids
70130,X-ray exam of mastoids
70130,X-ray exam
70130,exam of
70130,of mastoids
70130,mastoids of X-ray exam
70134,X-ray exam of middle ear
70134,X-ray exam
70134,exam of
70134,of middle
70134,middle ear
70134,exam X-ray ear of middle
70140,X-ray exam of facial bones
70140,X-ray exam
70140,exam of
70140,of facial
70140,facial bones
70140,X-ray of exam facial bones
70150,X-ray exam of facial bones
70150,X-ray exam
70150,exam of
70150,of facial
70150,facial bones
70150,facial X-ray exam of bones
70160,X-ray exam of nasal bones
70160,X-ray exam
70160,exam of
70160,of nasal
70160,nasal bones
70160,X-ray bones exam of nasal
70190,X-ray exam of eye sockets
70190,X-ray exam
70190,exam of
70190,of eye
70190,eye sockets
70190,X-ray sockets exam of eye
70200,X-ray exam of eye sockets
70200,X-ray exam
70200,exam of
70200,of eye
70200,eye sockets
70200,eye of exam sockets X-ray
70210,X-ray exam of sinuses
70210,X-ray exam
70210,exam of
70210,of sinuses
70210,X-ray exam sinuses of
70220,X-ray exam of sinuses
70220,X-ray exam
70220,exam of
70220,of sinuses
70220,of sinuses X-ray exam
70240,X-ray exam pituitary saddle
70240,X-ray exam
70240,exam pituitary
70240,pituitary saddle
70240,saddle pituitary X-ray exam
70250,X-ray exam of skull
70250,X-ray exam
70250,exam of
70250,of skull
70250,X-ray skull of exam
70260,X-ray exam of skull
70260,X-ray exam
70260,exam of
70260,of skull
70260,skull of exam X-ray
70300,X-ray exam of teeth
70300,X-ray exam
70300,exam of
70300,of teeth
70300,X-ray of teeth exam
70310,X-ray exam of teeth
70310,X-ray exam
70310,exam of
70310,of teeth
70310,X-ray of teeth exam
70320,Full mouth x-ray of teeth
70320,Full mouth
70320,mouth x-ray
70320,x-ray of
70320,of teeth
70320,mouth of x-ray teeth Full
70328,X-ray exam of jaw joint
70328,X-ray exam
70328,exam of
70328,of jaw
70328,jaw joint
70328,of joint X-ray exam jaw
70330,X-ray exam of jaw joints
70330,X-ray exam
70330,exam of
70330,of jaw
70330,jaw joints
70330,of joints jaw X-ray exam
70336,Magnetic image jaw joint
70336,Magnetic image
70336,image jaw
70336,jaw joint
70336,joint Magnetic jaw image
70350,X-ray head for orthodontia
70350,X-ray head
70350,head for
70350,for orthodontia
70350,orthodontia for X-ray head
70355,Panoramic x-ray of jaws
70355,Panoramic x-ray
70355,x-ray of
70355,of jaws
70355,of x-ray Panoramic jaws
70360,X-ray exam of neck
70360,X-ray exam
70360,exam of
70360,of neck
70360,neck X-ray exam of
70370,Throat x-ray  fluoroscopy
70370,Throat x-ray
70370,x-ray fluoroscopy
70370,x-ray Throat fluoroscopy
70371,Speech evaluation complex
70371,Speech evaluation
70371,evaluation complex
70371,complex Speech evaluation
70380,X-ray exam of salivary gland
70380,X-ray exam
70380,exam of
70380,of salivary
70380,salivary gland
70380,gland exam X-ray of salivary
70450,Ct head/brain w/o dye
70450,Ct head/brain
70450,head/brain w/o
70450,w/o dye
70450,w/o head/brain dye Ct
70460,Ct head/brain w/dye
70460,Ct head/brain
70460,head/brain w/dye
70460,head/brain Ct w/dye
70470,Ct head/brain w/o  w/dye
70470,Ct head/brain
70470,head/brain w/o
70470,w/o w/dye
70470,w/dye w/o Ct head/brain
70480,Ct orbit/ear/fossa w/o dye
70480,Ct orbit/ear/fossa
70480,orbit/ear/fossa w/o
70480,w/o dye
70480,w/o Ct orbit/ear/fossa dye
70481,Ct orbit/ear/fossa w/dye 
70481,Ct orbit/ear/fossa
70481,orbit/ear/fossa w/dye
70481,orbit/ear/fossa Ct w/dye
70482,Ct orbit/ear/fossa w/ow/dye
70482,Ct orbit/ear/fossa
70482,orbit/ear/fossa w/ow/dye
70486,Ct maxillofacial w/o dye
70486,Ct maxillofacial
70486,maxillofacial w/o
70486,w/o dye
70486,Ct dye maxillofacial w/o
70487,Ct maxillofacial w/dye
70487,Ct maxillofacial
70487,maxillofacial w/dye
70487,Ct w/dye maxillofacial
70488,Ct maxillofacial w/o  w/dye
70488,Ct maxillofacial
70488,maxillofacial w/o
70488,w/o w/dye
70488,maxillofacial Ct w/dye w/o
70490,Ct soft tissue neck w/o dye
70490,Ct soft
70490,soft tissue
70490,tissue neck
70490,neck w/o
70490,w/o dye
70490,Ct tissue w/o dye neck soft
70491,Ct soft tissue neck w/dye
70491,Ct soft
70491,soft tissue
70491,tissue neck
70491,neck w/dye
70491,tissue Ct w/dye soft neck
70492,Ct sft tsue nck w/o  w/dye
70492,Ct sft
70492,sft tsue
70492,tsue nck
70492,nck w/o
70492,w/o w/dye
70492,w/o nck Ct tsue sft w/dye
70496,Ct angiography head
70496,Ct angiography
70496,angiography head
70498,Ct angiography neck
70498,Ct angiography
70498,angiography neck
70498,neck angiography Ct
70540,Mri orbit/face/neck w/o dye
70540,Mri orbit/face/neck
70540,orbit/face/neck w/o
70540,w/o dye
70540,Mri dye orbit/face/neck w/o
70542,Mri orbit/face/neck w/dye
70542,Mri orbit/face/neck
70542,orbit/face/neck w/dye
70543,Mri orbt/fac/nck w/o  w/dye
70543,Mri orbt/fac/nck
70543,orbt/fac/nck w/o
70543,w/o w/dye
70543,w/dye w/o orbt/fac/nck Mri
70544,Mr angiography head w/o dye
70544,Mr angiography
70544,angiography head
70544,head w/o
70544,w/o dye
70544,angiography dye Mr head w/o
70545,Mr angiography head w/dye
70545,Mr angiography
70545,angiography head
70545,head w/dye
70545,head w/dye Mr angiography
70546,Mr angiograph head w/ow/dye
70546,Mr angiograph
70546,angiograph head
70546,head w/ow/dye
70546,head Mr w/ow/dye angiograph
70547,Mr angiography neck w/o dye
70547,Mr angiography
70547,angiography neck
70547,neck w/o
70547,w/o dye
70547,Mr neck dye w/o angiography
70548,Mr angiography neck w/dye
70548,Mr angiography
70548,angiography neck
70548,neck w/dye
70548,angiography neck w/dye Mr
70549,Mr angiograph neck w/ow/dye
70549,Mr angiograph
70549,angiograph neck
70549,neck w/ow/dye
70551,Mri brain w/o dye
70551,Mri brain
70551,brain w/o
70551,w/o dye
70551,brain w/o dye Mri
70552,Mri brain w/dye
70552,Mri brain
70552,brain w/dye
70552,w/dye Mri brain
70553,Mri brain w/o  w/dye 
70553,Mri brain
70553,brain w/o
70553,w/o w/dye
70553,w/o Mri w/dye brain
70554,Fmri brain by tech
70554,Fmri brain
70554,brain by
70554,by tech
70554,brain by tech Fmri
70555,Fmri brain by phys/psych
70555,Fmri brain
70555,brain by
70555,by phys/psych
70555,Fmri phys/psych by brain
71045,X-ray exam chest 1 view
71045,X-ray exam
71045,exam chest
71045,chest 1
71045,1 view
71046,X-ray exam chest 2 views
71046,X-ray exam
71046,exam chest
71046,chest 2
71046,2 views
71046,X-ray chest views exam 2
71047,X-ray exam chest 3 views
71047,X-ray exam
71047,exam chest
71047,chest 3
71047,3 views
71047,views chest 3 X-ray exam
71048,X-ray exam chest 4 views
71048,X-ray exam
71048,exam chest
71048,chest 4
71048,4 views
71048,chest views 4 exam X-ray
71100,X-ray exam of ribs
71100,X-ray exam
71100,exam of
71100,of ribs
71100,X-ray of exam ribs
71101,X-ray exam of ribs/chest
71101,X-ray exam
71101,exam of
71101,of ribs/chest
71101,of ribs/chest X-ray exam
71110,X-ray exam of ribs
71110,X-ray exam
71110,exam of
71110,of ribs
71110,exam X-ray of ribs
71111,X-ray exam of ribs/chest
71111,X-ray exam
71111,exam of
71111,of ribs/chest
71111,X-ray ribs/chest exam of
71120,X-ray exam of breastbone
71120,X-ray exam
71120,exam of
71120,of breastbone
71120,X-ray breastbone exam of
71130,X-ray exam of breastbone
71130,X-ray exam
71130,exam of
71130,of breastbone
71130,of breastbone exam X-ray
71250,Ct thorax dx c- 
71250,Ct thorax
71250,thorax dx
71250,dx c-
71250,dx thorax c- Ct
71260,Ct thorax dx c 
71260,Ct thorax
71260,thorax dx
71260,dx c
71260,dx c Ct thorax
71270,Ct thorax dx c-/c 
71270,Ct thorax
71270,thorax dx
71270,dx c-/c
71270,Ct dx thorax c-/c
71271,Ct thorax lung cancer scr c-
71271,Ct thorax
71271,thorax lung
71271,lung cancer
71271,cancer scr
71271,scr c-
71271,scr thorax c- lung Ct cancer
71275,Ct angiography chest
71275,Ct angiography
71275,angiography chest
71275,chest angiography Ct
71550,Mri chest w/o dye
71550,Mri chest
71550,chest w/o
71550,w/o dye
71550,w/o Mri chest dye
71551,Mri chest w/dye
71551,Mri chest
71551,chest w/dye
71551,w/dye Mri chest
71552,Mri chest w/o  w/dye
71552,Mri chest
71552,chest w/o
71552,w/o w/dye
71552,Mri chest w/o w/dye
71555,Mri angio chest w or w/o dye
71555,Mri angio
71555,angio chest
71555,chest w
71555,w or
71555,or w/o
71555,w/o dye
71555,w/o dye w or chest angio Mri
72020,X-ray exam of spine
72020,X-ray exam
72020,exam of
72020,of spine
72020,exam X-ray of spine
72040,X-ray exam neck spine 3/<vws
72040,X-ray exam
72040,exam neck
72040,neck spine
72040,spine 3/<vws
72040,spine X-ray exam neck 3/<vws
72050,X-ray exam of neck spine
72050,X-ray exam
72050,exam of
72050,of neck
72050,neck spine
72050,of spine X-ray neck exam
72052,X-ray exam of neck spine
72052,X-ray exam
72052,exam of
72052,of neck
72052,neck spine
72052,spine of X-ray exam neck
72070,X-ray exam of thoracic spine
72070,X-ray exam
72070,exam of
72070,of thoracic
72070,thoracic spine
72070,thoracic exam spine of X-ray
72072,X-ray exam of thoracic spine
72072,X-ray exam
72072,exam of
72072,of thoracic
72072,thoracic spine
72072,thoracic exam of X-ray spine
72074,X-ray exam of thoracic spine
72074,X-ray exam
72074,exam of
72074,of thoracic
72074,thoracic spine
72074,thoracic exam of spine X-ray
72080,X-ray exam of trunk spine
72080,X-ray exam
72080,exam of
72080,of trunk
72080,trunk spine
72080,exam X-ray trunk spine of
72081,X-ray exam entire spi 1 vw
72081,X-ray exam
72081,exam entire
72081,entire spi
72081,spi 1
72081,1 vw
72081,entire spi 1 exam X-ray vw
72082,X-ray exam entire spi 2/3 vw
72082,X-ray exam
72082,exam entire
72082,entire spi
72082,spi 2/3
72082,2/3 vw
72082,vw spi entire exam X-ray 2/3
72083,X-ray exam entire spi 4/5 vw
72083,X-ray exam
72083,exam entire
72083,entire spi
72083,spi 4/5
72083,4/5 vw
72083,vw X-ray spi entire exam 4/5
72084,X-ray exam entire spi 6/> vw
72084,X-ray exam
72084,exam entire
72084,entire spi
72084,spi 6/>
72084,6/> vw
72084,6/> vw entire X-ray spi exam
72100,X-ray exam of lower spine
72100,X-ray exam
72100,exam of
72100,of lower
72100,lower spine
72100,X-ray lower of exam spine
72110,X-ray exam of lower spine
72110,X-ray exam
72110,exam of
72110,of lower
72110,lower spine
72110,of lower spine X-ray exam
72114,X-ray exam of lower spine
72114,X-ray exam
72114,exam of
72114,of lower
72114,lower spine
72114,of lower exam spine X-ray
72120,X-ray exam of lower spine
72120,X-ray exam
72120,exam of
72120,of lower
72120,lower spine
72120,spine X-ray lower of exam
72125,Ct neck spine w/o dye
72125,Ct neck
72125,neck spine
72125,spine w/o
72125,w/o dye
72125,neck dye spine Ct w/o
72126,Ct neck spine w/dye
72126,Ct neck
72126,neck spine
72126,spine w/dye
72126,neck spine Ct w/dye
72127,Ct neck spine w/o  w/dye
72127,Ct neck
72127,neck spine
72127,spine w/o
72127,w/o w/dye
72127,w/dye w/o Ct spine neck
72128,Ct chest spine w/o dye
72128,Ct chest
72128,chest spine
72128,spine w/o
72128,w/o dye
72128,spine chest Ct w/o dye
72129,Ct chest spine w/dye
72129,Ct chest
72129,chest spine
72129,spine w/dye
72129,chest Ct w/dye spine
72130,Ct chest spine w/o  w/dye
72130,Ct chest
72130,chest spine
72130,spine w/o
72130,w/o w/dye
72130,Ct w/dye chest w/o spine
72131,Ct lumbar spine w/o dye
72131,Ct lumbar
72131,lumbar spine
72131,spine w/o
72131,w/o dye
72131,lumbar Ct spine dye w/o
72132,Ct lumbar spine w/dye
72132,Ct lumbar
72132,lumbar spine
72132,spine w/dye
72132,spine w/dye lumbar Ct
72133,Ct lumbar spine w/o  w/dye
72133,Ct lumbar
72133,lumbar spine
72133,spine w/o
72133,w/o w/dye
72133,lumbar Ct w/dye w/o spine
72141,Mri neck spine w/o dye
72141,Mri neck
72141,neck spine
72141,spine w/o
72141,w/o dye
72141,neck w/o dye Mri spine
72142,Mri neck spine w/dye
72142,Mri neck
72142,neck spine
72142,spine w/dye
72142,w/dye neck spine Mri
72146,Mri chest spine w/o dye
72146,Mri chest
72146,chest spine
72146,spine w/o
72146,w/o dye
72146,chest dye Mri w/o spine
72147,Mri chest spine w/dye
72147,Mri chest
72147,chest spine
72147,spine w/dye
72147,chest spine Mri w/dye
72148,Mri lumbar spine w/o dye
72148,Mri lumbar
72148,lumbar spine
72148,spine w/o
72148,w/o dye
72148,w/o Mri dye spine lumbar
72149,Mri lumbar spine w/dye
72149,Mri lumbar
72149,lumbar spine
72149,spine w/dye
72149,spine w/dye Mri lumbar
72156,Mri neck spine w/o  w/dye
72156,Mri neck
72156,neck spine
72156,spine w/o
72156,w/o w/dye
72156,w/o spine Mri neck w/dye
72157,Mri chest spine w/o  w/dye
72157,Mri chest
72157,chest spine
72157,spine w/o
72157,w/o w/dye
72157,spine w/o Mri chest w/dye
72158,Mri lumbar spine w/o  w/dye
72158,Mri lumbar
72158,lumbar spine
72158,spine w/o
72158,w/o w/dye
72158,lumbar spine Mri w/dye w/o
72159,Mr angio spine w/ow/dye
72159,Mr angio
72159,angio spine
72159,spine w/ow/dye
72159,Mr spine w/ow/dye angio
72170,X-ray exam of pelvis
72170,X-ray exam
72170,exam of
72170,of pelvis
72170,pelvis X-ray exam of
72190,X-ray exam of pelvis
72190,X-ray exam
72190,exam of
72190,of pelvis
72190,exam of X-ray pelvis
72191,Ct angiograph pelv w/ow/dye
72191,Ct angiograph
72191,angiograph pelv
72191,pelv w/ow/dye
72191,Ct pelv w/ow/dye angiograph
72192,Ct pelvis w/o dye
72192,Ct pelvis
72192,pelvis w/o
72192,w/o dye
72192,pelvis w/o dye Ct
72193,Ct pelvis w/dye
72193,Ct pelvis
72193,pelvis w/dye
72193,pelvis w/dye Ct
72194,Ct pelvis w/o  w/dye
72194,Ct pelvis
72194,pelvis w/o
72194,w/o w/dye
72194,pelvis w/dye Ct w/o
72195,Mri pelvis w/o dye
72195,Mri pelvis
72195,pelvis w/o
72195,w/o dye
72195,Mri dye w/o pelvis
72196,Mri pelvis w/dye
72196,Mri pelvis
72196,pelvis w/dye
72196,w/dye pelvis Mri
72197,Mri pelvis w/o  w/dye
72197,Mri pelvis
72197,pelvis w/o
72197,w/o w/dye
72197,pelvis Mri w/dye w/o
72198,Mr angio pelvis w/o  w/dye
72198,Mr angio
72198,angio pelvis
72198,pelvis w/o
72198,w/o w/dye
72198,angio w/o w/dye pelvis Mr
72200,X-ray exam sacroiliac joints
72200,X-ray exam
72200,exam sacroiliac
72200,sacroiliac joints
72202,X-ray exam sacroiliac joints
